id;set;set_code;name;number;rarity;tcg_url;variation
0;Base Set;bas;Alakazam;1;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/alakazam?xid=pi8e1353e2-4774-4632-8b19-3e75e7b86bd4;Unlimited
1;Base Set;bas;Blastoise;2;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/blastoise?xid=pia2fccc56-cb24-4df2-8ea5-f6b597d2d3e2;Unlimited
2;Base Set;bas;Chansey;3;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/chansey?xid=pie65dd6ca-ce4c-4c6c-b184-7c437156a55d;Unlimited
3;Base Set;bas;Charizard;4;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/charizard?xid=pid67b7c5b-a269-454f-a6ba-b60beff7f837;Unlimited
4;Base Set;bas;Clefairy;5;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/clefairy?xid=pi247ec16e-be43-4402-b6d4-d1665c7daf02;Unlimited
5;Base Set;bas;Gyarados;6;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/gyarados?xid=pi0cd2ba15-2e9c-4755-a9b5-5033f59a2bf3;Unlimited
6;Base Set;bas;Hitmonchan;7;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/hitmonchan?xid=pi2d4fcab3-545d-4013-a57d-cc3117b1a82f;Unlimited
7;Base Set;bas;Machamp;8;Holo Rare;https://shop.tcgplayer.com/pokemon/deck-exclusives/machamp-base-set-1st-edition-revised-with-shadowed-borders?xid=pi145df415-67db-4ae2-ae96-d0bcea733cc3;Unlimited
8;Base Set;bas;Magneton;9;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/magneton?xid=pi6e9c0cc9-b614-4f2c-9db8-d5a72849ed9b;Unlimited
9;Base Set;bas;Mewtwo;10;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/mewtwo?xid=pi96a0dfdb-9998-45c0-bcbf-417c3ca9781c;Unlimited
10;Base Set;bas;Nidoking;11;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/nidoking?xid=pid8815765-aadb-49ca-81f5-9990d663231f;Unlimited
11;Base Set;bas;Ninetales;12;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/ninetales?xid=pi77de7169-51ff-4615-b8c8-963bf6823a6f;Unlimited
12;Base Set;bas;Poliwrath;13;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/poliwrath?xid=pibef1a039-7d59-4b1e-ae05-824a52a9f2b0;Unlimited
13;Base Set;bas;Raichu;14;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/raichu?xid=pi44984f0d-c23c-4d9a-8581-2c4066c86e24;Unlimited
14;Base Set;bas;Venusaur;15;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/venusaur?xid=piee14c523-6e16-46fb-b9c5-3a82ecae004f;Unlimited
15;Base Set;bas;Zapdos;16;Holo Rare;https://shop.tcgplayer.com/pokemon/base-set/zapdos?xid=pia94b9e41-7bd3-4a5d-bb3a-8a47f61ade46;Unlimited
16;Base Set;bas;Beedrill;17;Rare;https://shop.tcgplayer.com/pokemon/base-set/beedrill?xid=pi5e01e187-03f9-4ec6-a6d1-f57e88dbc14f;Unlimited
17;Base Set;bas;Dragonair;18;Rare;https://shop.tcgplayer.com/pokemon/base-set/dragonair?xid=pi79e6d6cf-e43f-45ee-9a84-ea9bb5362f0c;Unlimited
18;Base Set;bas;Dugtrio;19;Rare;https://shop.tcgplayer.com/pokemon/base-set/dugtrio?xid=piee7fb241-9b8d-4a9c-866f-e9cb1908d8e2;Unlimited
19;Base Set;bas;Electabuzz;20;Rare;https://shop.tcgplayer.com/pokemon/base-set/electabuzz?xid=pidd66a963-6275-481e-9d54-19585750d649;Unlimited
